HYRIV_ID,NEXT_DOWN,MAIN_RIV,LENGTH_KM,DIST_DN_KM,DIST_UP_KM,CATCH_SKM,UPLAND_SKM,ENDORHEIC,DIS_AV_CMS,ORD_STRA,ORD_CLAS,ORD_FLOW,HYBAS_L12
40313233,40313096,40282950,3.95,257.5,202.2,30.67,6544.8,1,0.000,5,1,10,4121295930
40313234,40312847,40282950,4.18,256.3,13.7,6.94,33.6,1,0.003,2,2,9,4121295280
40313235,40311041,40282950,9.85,208.1,20.1,22.27,66.8,1,0.000,2,4,10,4120406890
40313236,40313343,40282950,3.36,147.0,24.5,13.88,168.8,1,0.003,2,3,9,4121296010
40313237,40313099,40282950,0.58,143.2,28.3,2.74,237.9,1,0.006,2,3,9,4120405040
40313238,40309406,40291987,17.96,78.1,56.9,39.02,263.7,1,0.000,2,2,10,4120401340
40313239,40311838,40308059,6.03,45.4,18.6,10.16,54.9,1,0.000,2,4,10,4120402760
40313240,40311341,40308065,7.65,15.4,79.0,14.04,1247.6,1,0.000,4,2,10,4120404560
40313241,40310683,40307202,10.20,48.4,16.2,31.15,31.1,1,0.004,1,3,9,4120407210
40313242,40310416,40306678,15.07,172.0,46.6,42.59,323.9,1,0.000,3,3,10,4121294390
40313243,40313242,40306678,1.80,187.2,8.5,12.10,12.1,1,0.000,1,4,10,4121296020
40313244,40313111,40306678,0.87,215.5,7.5,10.17,10.2,1,0.000,1,3,10,4120407120
40313245,40313247,40417973,0.52,2634.8,5.6,10.49,10.5,0,0.000,1,4,10,4120410980
40313337,40313571,40282950,0.87,338.9,9.4,11.30,11.3,1,0.003,1,3,9,4121296340
40313338,40313095,40282950,4.76,264.4,195.3,20.50,6457.6,1,0.000,5,1,10,4121295930
40313339,40313096,40282950,0.93,257.6,22.0,0.97,77.1,1,0.006,2,2,9,4121295930
40313340,40313234,40282950,0.69,260.5,7.0,10.82,10.8,1,0.001,1,3,9,4121295280
40313341,40313234,40282950,2.44,260.5,9.5,15.82,15.8,1,0.001,1,2,9,4121295280
40313342,40313097,40282950,2.90,218.0,40.8,9.85,374.8,1,0.000,3,2,10,4121295940
40313343,40313344,40282950,2.67,144.1,27.3,9.52,190.6,1,0.004,2,3,9,4120405040
